<<<<<<< HEAD
1,186447,41,$155.25,134
2,186448,97,$104.25,21
3,186449,25,$113.01,43
4,186450,5,$167.73,131
5,186451,2,$94.08,62
6,186452,65,$64.31,23
7,186453,96,$100.92,129
8,186454,83,$27.41,6
9,186455,79,$116.04,67
10,186456,120,$114.25,64
11,186457,60,$152.48,2
12,186458,59,$193.27,87
13,186459,6,$17.63,135
14,186460,54,$161.94,85
15,186461,137,$193.61,126
16,186462,43,$27.80,63
17,186463,7,$103.10,103
18,186464,27,$51.96,131
19,186465,97,$85.66,135
20,186466,7,$58.51,125
21,186467,146,$183.43,125
22,186468,95,$6.18,30
23,186469,110,$98.72,28
24,186470,123,$28.38,46
25,186471,3,$51.39,60
26,186472,91,$172.97,150
27,186473,104,$78.59,30
28,186474,75,$52.43,104
29,186475,51,$187.38,131
30,186476,88,$72.90,141
31,186477,61,$157.25,93
32,186478,75,$42.14,102
33,186479,28,$4.52,87
34,186480,95,$83.22,112
35,186481,28,$47.87,6
36,186482,106,$71.34,115
37,186483,63,$153.45,36
38,186484,119,$155.06,68
39,186485,126,$17.91,77
40,186486,18,$165.86,78
41,186487,60,$69.20,134
42,186488,70,$103.00,64
43,186489,79,$16.06,66
44,186490,73,$126.18,15
45,186491,1,$165.08,71
46,186492,23,$102.36,108
47,186493,41,$159.06,138
48,186494,73,$41.45,89
49,186495,117,$146.36,1
50,186496,142,$41.49,142
51,186497,23,$74.65,24
52,186498,116,$164.83,33
53,186499,25,$134.43,110
54,186500,36,$29.93,76
55,186501,88,$108.30,53
56,186502,59,$116.92,92
57,186503,48,$38.97,71
58,186504,147,$192.27,62
59,186505,18,$91.49,113
60,186506,124,$24.62,108
61,186507,109,$188.97,51
62,186508,144,$76.87,42
63,186509,94,$140.62,140
64,186510,68,$29.19,71
65,186511,77,$106.50,132
66,186512,76,$80.73,65
67,186513,68,$111.45,102
68,186514,65,$86.73,122
69,186515,38,$171.69,98
70,186516,13,$100.22,128
71,186517,84,$20.22,14
72,186518,5,$96.98,20
73,186519,49,$149.10,150
74,186520,50,$33.18,133
75,186521,78,$4.68,90
76,186522,59,$29.41,55
77,186523,140,$11.05,147
78,186524,95,$113.64,124
79,186525,49,$28.29,32
80,186526,128,$146.61,60
81,186527,129,$62.30,59
82,186528,49,$196.12,119
83,186529,89,$116.45,85
84,186530,26,$170.87,120
85,186531,142,$121.53,108
86,186532,10,$22.41,113
87,186533,58,$90.42,61
88,186534,19,$96.76,47
89,186535,130,$3.49,53
90,186536,107,$10.19,42
91,186537,134,$65.48,112
92,186538,40,$55.30,28
93,186539,119,$42.93,69
94,186540,116,$67.46,25
95,186541,55,$82.55,126
96,186542,8,$100.33,29
97,186543,28,$156.56,22
98,186544,76,$139.40,66
99,186545,137,$24.71,70
100,186546,149,$167.06,68
101,186547,7,$18.56,47
102,186548,48,$171.23,4
103,186549,83,$152.85,113
104,186550,59,$182.47,114
105,186551,102,$69.25,31
106,186552,148,$70.08,114
107,186553,66,$199.18,79
108,186554,62,$158.25,125
109,186555,103,$147.65,142
110,186556,127,$76.39,139
111,186557,1,$149.72,68
112,186558,134,$23.18,70
113,186559,36,$170.34,93
114,186560,74,$27.35,56
115,186561,55,$189.84,107
116,186562,125,$143.67,50
117,186563,122,$126.30,33
118,186564,96,$186.42,147
119,186565,140,$192.25,32
120,186566,125,$11.55,82
121,186567,118,$49.39,63
122,186568,9,$108.33,10
123,186569,29,$100.74,34
124,186570,10,$55.06,32
125,186571,114,$14.42,63
126,186572,135,$152.43,90
127,186573,107,$59.44,87
128,186574,2,$145.40,49
129,186575,97,$1.77,129
130,186576,60,$2.07,86
131,186577,56,$8.41,126
132,186578,56,$152.91,53
133,186579,26,$132.55,9
134,186580,63,$106.31,72
135,186581,68,$8.61,98
136,186582,101,$166.25,39
137,186583,34,$5.05,87
138,186584,16,$155.37,137
139,186585,82,$168.37,4
140,186586,98,$169.20,130
141,186587,47,$102.66,53
142,186588,2,$13.20,109
143,186589,142,$60.51,75
